Entreprise|||Lien|||Contact|||Localisation|||Ville|||Collège|||Activités
CEPRALMAR|||https://www.cepralmar.org/|||contact@cepralmar.org|||Languedoc-Roussillon-Midi-Pyrénées|||Sète|||Ecosystème|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CEREGE-CENTRE EUROPEEN DE RECHERCHE ET D'ENSEIGNEMENT DES GEOSCIENCES DE L'ENVIRONNEMENT (UMR 7330)|||https://www.cerege.fr/fr|||direction@cerege.fr|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral
CEREMA - Dter MED|||https://www.cerema.fr/fr|||maurice.court@developpement-durable.gouv.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
CERG|||not provided|||thierry.ernoult@cerg-fluides.com|||Auvergne-Rhône-Alpes|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
CESIGMA|||http://www.cesigma.com|||cesigma@cesigma.com|||Provence-Alpes-Côte d'Azur|||Le Pradet|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
CESSYS TECHNOLOGIES|||http://www.cessystech.com|||gno@cessystech.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CFA EPURE Méditerranée|||https://www.cfa-epure.com/|||yves.esteve@cfa-epure.com|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Naval et nautisme---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
CFPPA|||https://agricampus.fr/|||cfppa.hyeres@educagri.fr|||Provence-Alpes-Côte d'Azur|||Hyères|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Ressources biologiques marines
Chambre de Commerce et d'Industrie d'Occitanie|||https://www.occitanie.cci.fr/|||accueil.blagnac@occitanie.cci.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Blagnac|||Ecosystème|||Naval et nautisme---Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Chambre de Commerce et d'Industrie du Var|||https://www.var.cci.fr/|||aline.diplacido@var.cci.fr|||Provence-Alpes-Côte d'Azur|||Toulon|||Ecosystème|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Chantier Naval de Marseille|||https://www.cndm.fr/|||curato@cndm.eu|||Provence-Alpes-Côte d'Azur|||Marseille|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
Chantier naval de Martinique|||not provided|||chantiernavaldemartinique@gmail.com|||not provided|||not provided|||PME|||Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines
CHORUS|||https://chorusacoustics.com/|||chorus@chorusacoustics.com|||not provided|||Grenoble|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources biologiques marines---Environnement et valorisation du littoral
CIEL SNEF|||http://www.snef.fr/ciel/|||johan.ricard@snef.fr|||Provence-Alpes-Côte d'Azur|||La Seyne-sur-Mer|||Groupe|||Défense, Sécurité et sûreté maritimes
CIMBETON|||http://www.cimbeton.com.tr/|||centrinfo@cimbeton.net|||Ile-de-France|||Courbevoie|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CLS|||https://www.cls.fr/|||info@cls.fr|||not provided|||Ramonville Saint-Agne|||not provided|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CMI TEchni5I Pastor|||https://cmigroupe.com|||etienne.aubert@cmigroupe.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources biologiques marines
CMR|||http://www.cmr-group.com/|||pascal.fouache@cmr-group.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ressources énergétiques et minières marines
CNAM OCCITANIE|||http://www.cnam-occitanie.fr/|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||Montpellier|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CNAM PACA|||http://www.cnam-paca.fr|||marseille@cnam-paca.fr|||not provided|||not provided|||Centre de recherche et de formation|||Ports, logistique et transports maritimes
CNIM|||https://cnim.com/|||bernard.dabezies@cnim.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
CNRS|||http://www.provence-corse.cnrs.fr/|||emmanuel.alessandrini@dt.insu.cnrs.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Centre de recherche et de formation|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
COEXEL|||http://www.coexel.com/|||vincent.boisard@coexel.com|||not provided|||Toulon|||PME|||Défense, Sécurité et sûreté maritimes
COLDEP|||https://www.coldep.com/|||julien.jacquety@coldep.com|||Languedoc-Roussillon-Midi-Pyrénées|||Villeurbanne|||PME|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral
COLDINNOV|||https://www.coldinnov.com/|||jeanlouis.juillard@coldinnov.com|||Provence-Alpes-Côte d'Azur|||Toulouse|||PME|||Naval et nautisme---Ports, logistique et transports maritimes
COMEX|||https://comex.fr/|||y.deroche@comex.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Environnement et valorisation du littoral
Comité Régional des Pêches et des Elevages Marins (CRPEMLER)|||not provided|||not provided|||Languedoc-Roussillon-Midi-Pyrénées|||not provided|||Ecosystème|||Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
Compagnie Maritime Chambon|||http://www.cmchambon.com/|||gchambon@cmchambon.com|||Provence-Alpes-Côte d'Azur|||Marseille|||PME|||Ressources énergétiques et minières marines
Compagnie Méridionale de Navigation|||https://www.lameridionale.fr/|||olivier.varin@cmn.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
CONSEIL ADR PYROTECHNIE SUD|||https://www.capyro.com/|||contact@capyro.com|||Provence-Alpes-Côte d'Azur|||Six-Fours-les-Plages|||PME|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
CORAL BIOME|||http://www.coralbiome.com|||info-pharma@coralbiome.com|||Provence-Alpes-Côte d'Azur|||not provided|||PME|||Ressources biologiques marines
Corsican Blue Project|||https://www.corsicanblueproject.com/|||corsicanblueproject@gmail.com|||not provided|||not provided|||not provided|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
COSMED|||http://www.cosmed.fr|||contact@cosmed.fr|||Provence-Alpes-Côte d'Azur|||Aix-en-Provence|||Ecosystème|||Ressources biologiques marines
CPIE Bassin de Thau|||https://www.cpiebassindethau.fr|||a.rumpler@cpiebassindethau.fr|||Languedoc-Roussillon-Midi-Pyrénées|||Frontignan|||Ecosystème|||Ressources énergétiques et minières marines---Ressources biologiques marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CPIE Bastia Golo Méditerranée U Marinu|||http://umarinu.com/|||umarinu@wanadoo.fr|||not provided|||Bastia|||Ecosystème|||Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CPPM-CENTRE DE PHYSIQUE DES PARTICULES DE MARSEILLE (UMR CNRS 7346)|||https://www.cppm.in2p3.fr/|||contact@cppm.in2p3.fr|||Provence-Alpes-Côte d'Azur|||Marseille|||Centre de recherche et de formation|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral
CREOCEAN|||http://creocean.fr/|||legras@creocean.fr|||Provence-Alpes-Côte d'Azur|||La Rochelle|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CS|||https://www.c-s.fr/|||denis.chaumartin@c-s.fr|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Ports, logistique et transports maritimes
CTEC 3D|||https://ctec3d.com|||edith.macchi@ctec3d.com|||not provided|||Buchelay|||PME|||Défense, Sécurité et sûreté maritimes---Naval et nautisme---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
CYPREOS FRANCE EPONGES|||http://www.eponges.com/|||france.cypreos@wanadoo.fr|||not provided|||Fontenay sous Bois|||PME|||Ressources biologiques marines
D2C Engineering|||http://www.d2c-engineering.com|||contact@d2c-engineering.com|||Provence-Alpes-Côte d'Azur|||Hyères|||PME|||Ressources énergétiques et minières marines
D2M|||https://d2m-group.com/|||carole.pavaut@d2m-group.com|||Provence-Alpes-Côte d'Azur|||not provided|||Groupe|||Naval et nautisme---Ressources énergétiques et minières marines
DANESI INDUSTRIES|||http://www.danesi-industries.fr|||contact@danesi-industries.fr|||Provence-Alpes-Côte d'Azur|||Martigues|||PME|||Ressources énergétiques et minières marines---Ports, logistique et transports maritimes
DBS Traitement|||http://dbs-traitement.com/|||dbs-traitement@wanadoo.fr|||Nouvelle-Aquitaine|||Ares|||PME|||Ressources énergétiques et minières marines
DEFENSE ENVIRONNEMENT SERVICES|||http://www.e-des.fr/|||david.le-douguet@veolia.com|||not provided|||Aubervilliers|||Groupe|||Défense, Sécurité et sûreté maritimes---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
DEGREANE HORIZON|||https://www.degreane-horizon.com/fr/|||contact@degreane-horizon.fr|||Provence-Alpes-Côte d'Azur|||Cuers|||Groupe|||Défense, Sécurité et sûreté maritimes---Ressources énergétiques et minières marines
DeProfundis|||https://www.deprofundis.com/|||bruno.garnier@deprofundis.com|||Ile-de-France|||Clichy|||PME|||Ressources énergétiques et minières marines---Environnement et valorisation du littoral---Ports, logistique et transports maritimes
